uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbd6272-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	0.01	35.92	37.92	49.1	49.96
bfbc9a22-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	0.01	0.04	0.0	19.21	17.1
bfbe2ae0-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	0.01	22.84	22.64	34.38	32.52
bfbb6102-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.01	38.23	40.21	49.85	50.77
bfbd9170-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.10000000000000001	73.52	75.22	79.26	80.3
bfbd94f4-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	1.0	83.83	82.74	88.11	86.91
bfbdcad2-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	0.10000000000000001	61.68	63.18	69.4	69.86
bfbccfc4-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	0.001	3.28	3.62	18.94	17.47
bfbc7646-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	1.0	78.26	79.08	83.42	83.57
bfbc13a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	0.001	0.67	0.89	14.86	13.45
bfba2f62-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	0.10000000000000001	67.47	70.58	74.47	76.4
bfbd2302-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	1	1.0	74.99	76.56	80.8	81.43
bfbdbfe2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	1.0	60.98	58.23	67.39	64.01
bfbdd1c6-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	0.001	2.99	1.76	18.49	15.89
bfbc0878-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.01	59.39	63.31	67.41	69.97
bfbe55ba-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.01	16.64	14.84	26.76	24.1
bfbdffde-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	4	0.01	1.72	0.96	20.5	18.09
bfbd147a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	1.0	61.13	58.39	67.69	64.3
bfbbc156-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.10000000000000001	63.5	67.09	71.71	73.23
bfbb77be-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	1.0	78.51	79.73	84.08	84.95
bfbb0626-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.001	6.6	7.23	25.42	25.86
bfbdf1ce-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.01	0.04	0.0	19.42	17.3
bfbd1858-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	1	0.001	0.45	0.39	11.73	10.32
bfbd05ca-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	1.0	53.1	51.48	60.74	57.95
bfbc5d1e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.001	15.7	15.45	31.3	30.1
bfbe8ea4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	0.01	38.51	37.5	49.73	47.24
bfbccbc8-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	1.0	78.2	78.9	83.13	83.19
bfbcb2f0-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.001	0.07	0.12	19.28	17.22
bfbd3bbc-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.10000000000000001	74.44	75.72	79.8	80.47
bfbd86bc-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	1.0	79.95	80.48	84.81	84.83
bfbd1f4c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	1	0.10000000000000001	61.49	64.71	69.95	71.49
bfbee08e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.001	1.14	1.62	17.33	16.06
bfbb3a9c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	1.0	75.43	76.47	81.55	82.4
bfbe478c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.01	7.07	6.62	20.71	18.88
bfbca85a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.01	40.14	43.41	52.12	54.19
bfbdaaa2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.01	15.57	15.38	29.48	27.81
bfbcd6d6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	0.10000000000000001	74.07	75.94	79.8	80.9
bfbde3be-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.01	54.59	55.71	63.34	63.36
bfbbf61c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.001	0.72	0.48	19.19	16.82
bfbdce56-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	1.0	77.05	77.47	81.7	81.73
bfbb92b2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.10000000000000001	66.48	68.72	73.92	75.59
bfbe8404-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	0.10000000000000001	67.06	68.13	74.48	74.83
bfbc6b88-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.001	0.28	0.13	16.73	14.74
bfbbeec4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.10000000000000001	61.27	65.42	69.64	72.03
bfbe95ca-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	1.0	81.9	79.94	86.05	84.07
bfbb967c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	1.0	72.61	74.37	79.71	80.82
bfbbd07e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.10000000000000001	68.1	70.95	75.24	77.05
bfbba5c2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	1.0	75.87	77.44	82.44	83.19
bfbda37c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	1.0	41.66	40.61	50.69	48.32
bfbcecf2-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.001	0.61	0.7	15.43	13.97
bfbeb56e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.001	0.19	0.2	17.05	15.2
bfbcba20-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.10000000000000001	75.58	76.8	80.98	81.75
bfbc608e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.01	56.43	59.6	65.37	67.23
bfbcc4c0-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.01	18.98	18.12	33.17	30.97
bfbc80e6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.10000000000000001	75.09	76.51	80.42	81.25
